Parent_scp	Child_scp	ReadWrite_references	Parent_priotirization
Sodium chloride glycine symporter	GlyT2 (SLC6A5)	PMID: 32712279;Uniprot-online-2021May22	10
Sodium chloride neurotransmitter symporter	CT1 (SLC6A8)	PMID: 25531585	10
Sodium chloride neurotransmitter symporter	NTT5 (SLC6A16)	GeneCards-online-2021May22;PMID: 11112352	10
Sodium chloride neurotransmitter symporter	Sodium- and chloride-dependent sodium:neurotransmitter symporter		10
Sodium chloride neutral amino acid symporter	B0AT3 (SLC6A18)	PMID: 19184091;GeneCards-online-2021May22	10
Sodium chloride noradrenalin symporter	NET (SLC6A2)		10
Sodium chloride serotonin symporter	SERT (SLC6A4)	Tocris_summary-2021May22	10
Sodium chloride symporter	NCC (SLC12A3)		10
Sodium chloride symporter	Sodium chloride beta-alanine symporter		10
Sodium chloride symporter	Sodium chloride betaine symporter		10
Sodium chloride symporter	Sodium chloride carnitine symporter		10
Sodium chloride symporter	Sodium chloride cationic amino acid symporter		10
Sodium chloride symporter	Sodium chloride choline symporter		10
Sodium chloride symporter	Sodium chloride creatine symporter		10
Sodium chloride symporter	Sodium chloride dopamine symporter		10
Sodium chloride symporter	Sodium chloride GABA symporter		10
Sodium chloride symporter	Sodium chloride glycine symporter		10
Sodium chloride symporter	Sodium chloride neurotransmitter symporter		10
Sodium chloride symporter	Sodium chloride neutral amino acid symporter		10
Sodium chloride symporter	Sodium chloride noradrenalin symporter		10
Sodium chloride symporter	Sodium chloride serotonin symporter		5
Sodium chloride symporter	Sodium chloride taurine symporter		10
Sodium chloride symporter	Sodium potassium chloride symporter		10
Sodium chloride symporter B2L	Sodium chloride GABA symporter B2L		10
Sodium chloride symporter B2L	Sodium chloride taurine symporter B2L		10
Sodium chloride taurine symporter	Chloride dependent sodium taurine symporter		10
Sodium chloride taurine symporter	TauT (SLC6A6)	PMID: 24633632;Uniprot-online-2021May22	10
Sodium chloride taurine symporter B2L	GAT2 (SLC6A13)	PMID: 24633632;Tocris_summary-2021May22;Uniprot-online-2021May22	10
Sodium choline symporter	Sodium chloride choline symporter		10
Sodium citrate symporter B2L	NaCT (SLC13A5)		10
Sodium creatine symporter	Sodium chloride creatine symporter		10
Sodium cysteine symporter	Sodium hydrogen cysteine vs potassium antiporter		10
Sodium dicarboxylate symporter	NaDC1 (SLC13A2)		10
Sodium dicarboxylate symporter B2L	NaCT (SLC13A5)		10
Sodium dicarboxylate symporter B2L	NaDC3 (SLC13A3)		10
Sodium dopamine symporter	Sodium chloride dopamine symporter		10
Sodium fructose symporter	SGLT4 (SLC5A9)		10
Sodium fructose symporter	SGLT5 (SLC5A10)	PMID: 23451068	10
Sodium GABA symporter	Sodium chloride GABA symporter		10
Sodium GABA symporter B2L	Sodium chloride GABA symporter B2L		10
Sodium glucose symporter	SGLT1 (SLC5A1)	PMID: 32196987	10
Sodium glucose symporter	SGLT2 (SLC5A2)	PMID: 32196987	10
Sodium glucose symporter	SGLT4 (SLC5A9)		10
Sodium glutamate symporter	Sodium hydrogen glutamate vs potassium antiporter		10
Sodium glutamine symporter	Sodium glutamine vs hydrogen antiporter		10
Sodium glutamine symporter B2L	SNAT1 (SLC38A1)	GeneCards-online-2021May22;PMID: 24692143	10
Sodium glycine symporter	NTT4 (SLC6A17)	PMID: 19147495;GeneCards-online-2021May22	10
Sodium glycine symporter	Sodium chloride glycine symporter		10
Sodium glycine symporter	Sodium glycine vs hydrogen antiporter		10
Sodium histidine symporter	Sodium histidine vs hydrogen antiporter		10
Sodium hydrogen amino acid vs potassium antiporter	Sodium hydrogen glutamate vs potassium antiporter		10
Sodium hydrogen aspartate vs potassium antiporter	EAAT1 (SLC1A3)	PMID:21186281;PMID:24692143;UniProt-online-2021May21	10
Sodium hydrogen aspartate vs potassium antiporter	EAAT2 (SLC1A2)	PMID:21186281;PMID:24692143;UniProt-online-2021May21	10
Sodium hydrogen aspartate vs potassium antiporter	EAAT3 (SLC1A1)	PMID:21186281;PMID:24692143;UniProt-online-2021May21	10
Sodium hydrogen cysteine vs potassium antiporter	EAAT3 (SLC1A1)	PMID:21186281;PMID:24692143;UniProt-online-2021May21	10
Sodium hydrogen glutamate vs potassium antiporter	EAAT1 (SLC1A3)	PMID:21186281;PMID: 24692143;UniProt-online-2021May21	10
Sodium hydrogen glutamate vs potassium antiporter	EAAT2 (SLC1A2)	PMID:21186281;PMID: 24692143;UniProt-online-2021May21	10
Sodium hydrogen glutamate vs potassium antiporter	EAAT3 (SLC1A1)	PMID:21186281;PMID: 24692143;UniProt-online-2021May21	10
Sodium hydrogen symporter	Sodium hydrogen aspartate vs potassium antiporter		10
Sodium hydrogen symporter	Sodium hydrogen cysteine vs potassium antiporter		10
Sodium hydrogen symporter	Sodium hydrogen glutamate vs potassium antiporter		10
Sodium L proline symporter	SIT1 (SLC6A20)	PMID: 19184091	10
Sodium L2B	Sodium L2B by antiporter		10
Sodium L2B	Sodium L2B by symporter		10
Sodium L2B	Sodium L2B by unimolecular transport		10
Sodium L2B by antiporter	Sodium vs calcium antiporter		10
Sodium L2B by antiporter	Sodium vs chloride antiporter		10
Sodium L2B by antiporter	Sodium vs hydrogen antiporter		10
Sodium L2B by antiporter	Sodium vs large neutral amino acid antiporter		10
Sodium L2B by antiporter	Sodium vs neutral amino acid antiporter		10
Sodium L2B by antiporter	Sodium vs organic cation antiporter		10
Sodium L2B by antiporter	Sodium vs potassium antiporter		10
Sodium L2B by symporter	Sodium acetylcholine symporter		10
Sodium L2B by symporter	Sodium amino acid symporter		10
Sodium L2B by symporter	Sodium bicarbonate symporter		10
Sodium L2B by symporter	Sodium biochemical cofactor symporter		10
Sodium L2B by symporter	Sodium biologically active small organic molecule symporter		10
Sodium L2B by symporter	Sodium borate symporter		10
Sodium L2B by symporter	Sodium carnitine symporter		10
Sodium L2B by symporter	Sodium chloride symporter		10
Sodium L2B by symporter	Sodium creatine symporter		10
Sodium L2B by symporter	Sodium glucose symporter		10
Sodium L2B by symporter	Sodium hydrogen symporter		10
Sodium L2B by symporter	Sodium iodide symporter		10
Sodium L2B by symporter	Sodium large neutral amino acid symporter		10
Sodium L2B by symporter	Sodium mono-, di- or tricarboxylate symporter		10
Sodium L2B by symporter	Sodium nucleoside symporter		10
Sodium L2B by symporter	Sodium organic molecule symporter		10
Sodium L2B by symporter	Sodium phosphate symporter		10
Sodium L2B by symporter	Sodium potassium symporter		10
Sodium L2B by symporter	Sodium purine or pyrimidine symporter		10
Sodium L2B by symporter	Sodium sugar symporter		10
Sodium L2B by symporter	Sodium sulfate symporter		10
Sodium L2B by unimolecular transport	Sodium transporter		10
Sodium lactate symporter	SMCT1 (SLC5A8)		10
Sodium lactate symporter	SMCT2 (SLC5A12)		10
Sodium large neutral amino acid symporter	B0AT2 (SLC6A15)	PMID: 16540203;PMID: 19184091;Uniprot-online-2021May22	10
Sodium large neutral amino acid symporter B2L	Cationic amino acid vs large neutral amino acid sodium antiporter		10
Sodium leucine symporter	NTT4 (SLC6A17)	PMID: 19147495;GeneCards-online-2021May22	10
Sodium lipoate symporter	Sodium-dependent lipoate transporter		10
Sodium lipoic acid symporter	SMVT (SLC5A)		10
Sodium mannose symporter	SGLT4 (SLC5A9)		10
Sodium mannose symporter	SGLT5 (SLC5A10)	PMID: 22212718	10
Sodium methylated amino acid symporter	SIT1 (SLC6A20)	PMID: 19184091	10
Sodium mono-, di- or tricarboxylate symporter	Sodium dicarboxylate symporter		10
Sodium mono-, di- or tricarboxylate symporter	Sodium monocarboxylate symporter		10
Sodium mono-, di- or tricarboxylate symporter	Sodium tricarboxylate symporter		10
Sodium mono-, di- or tricarboxylate symporter B2L	Sodium citrate symporter B2L		10
Sodium mono-, di- or tricarboxylate symporter B2L	Sodium dicarboxylate symporter B2L		10
Sodium mono-, di- or tricarboxylate symporter B2L	Sodium tricarboxylate symporter B2L		10
Sodium monocarboxylate symporter	Sodium lactate symporter		10
Sodium monocarboxylate symporter	Sodium nicotinate symporter		10
Sodium monocarboxylate symporter	Sodium pyruvate symporter		10
Sodium myo-inositol symporter	SMIT2 (SLC5A11)		10
Sodium myo-inositol symporter B2L	SMIT1 (SLC5A3)		10
Sodium N methyl L proline symporter	SIT1 (SLC6A20)	PMID: 19184091	10
Sodium neurotransmitter symporter	NTT4 (SLC6A17)	PMID: 19147495;GeneCards-online-2021May22	10
Sodium neutral amino acid symporter	B0AT1 (SLC6A19)	PMID: 16540203;PMID: 19184091;GeneCards-online-2021May22	10
Sodium neutral amino acid symporter	Sodium chloride neutral amino acid symporter		10
Sodium neutral amino acid symporter B2L	SNAT2 (SLC38A2)	GeneCards-online-2021May22;PMID: 24692143	10
Sodium neutral amino acid symporter B2L	SNAT4 (SLC38A4)	GeneCards-online-2021May22;PMID: 24692143	10
Sodium nicotinate symporter	SMCT1 (SLC5A8)		10
Sodium nicotinate symporter	SMCT2 (SLC5A12)		10
Sodium noradrenalin symporter	Sodium chloride noradrenalin symporter		10
Sodium nucleoside symporter	CNT1 (SLC28A1)	PMID: 16014043	10
Sodium nucleoside symporter	CNT2 (SLC28A2)	PMID: 16014043	10
Sodium nucleoside symporter	CNT3 (SLC28A3)	PMID: 16014043;PMID:21186281	10
Sodium organic molecule symporter	Sodium bile salt symporter		10
Sodium organic molecule symporter	Sodium small organic molecule symporter		10
Sodium organic molecule symporter	Sodium taurine symporter		10
Sodium pantothenate symporter	Sodium-dependent pantothenate transporter		10
Sodium phosphate symporter	NPT1 (SLC17A1)		10
Sodium phosphate symporter	NPT4 (SLC17A3)		10
Sodium phosphate symporter	S17A4 (SLC17A4)		10
Sodium phosphate symporter	SLC17A2		10
Sodium phosphate symporter	Sodium phosphate symporter, Type II		10
Sodium phosphate symporter	Sodium phosphate symporter, Type III		10
Sodium phosphate symporter, Type II	NPT2a (SLC34A1)		10
Sodium phosphate symporter, Type II	NPT2b (SLC34A2)		10
Sodium phosphate symporter, Type II	NPT2c (SLC34A3)		10
Sodium phosphate symporter, Type III	PiT-1 (SLC20A1)		10
Sodium phosphate symporter, Type III	PiT-2 (SLC20A2)		10
Sodium pipecolate symporter	SIT1 (SLC6A20)	PMID: 19184091	10
Sodium potassium chloride symporter	NKCC1 (SLC12A2)		10
Sodium potassium chloride symporter	NKCC2 (SLC12A1)		10
Sodium potassium symporter	Sodium potassium chloride symporter		10
Sodium potassium symporter	Sodium potassium vs hydrogen antiporter		10
Sodium potassium vs hydrogen antiporter	Sodium potassium vs hydrogen antiporter ATPase		10
Sodium proline symporter	PROT (SLC6A7)	GeneCards-online-2021May22	10
Sodium purine or pyrimidine symporter	Sodium purine symporter		10
Sodium purine or pyrimidine symporter	Sodium pyrimidine symporter		10
Sodium pyruvate symporter	SMCT1 (SLC5A8)		10
Sodium pyruvate symporter	SMCT2 (SLC5A12)		10
Sodium serine symporter	Sodium serine vs hydrogen antiporter		10
Sodium serotonin symporter	Sodium chloride serotonin symporter		10
Sodium small organic molecule symporter	Sodium carnitine, choline or betaine symporter		10
Sodium small organic molecule symporter	Sodium organic cation symporter		10
Sodium small organic molecule symporter	Sodium organic ion symporter		10
Sodium sugar symporter	Sodium fructose symporter		10
Sodium sugar symporter	Sodium mannose symporter		10
Sodium sugar symporter	Sodium myo-inositol symporter		10
Sodium sugar symporter B2L	Sodium myo-inositol symporter B2L		10
Sodium sulfate symporter	NaS1 (SLC13A1)		10
Sodium sulfate symporter	SUT1 (SLC13A4)		10
Sodium taurine symporter	Sodium chloride taurine symporter		10
Sodium taurine symporter B2L	Sodium chloride taurine symporter B2L		10
Sodium taurocholate symporter	NTCP (SLC10A1)		10
Sodium transporter	Sodium transporter - voltage-gated Calcium channels - two-pore channel		10
Sodium tricarboxylate symporter	Sodium citrate symporter		10
Sodium tricarboxylate symporter B2L	NaCT (SLC13A5)		10
Sodium vitamin symporter	Sodium ascorbic acid symporter		10
Sodium vitamin symporter	Sodium biotin symporter		10
Sodium vitamin symporter	Sodium lipoate symporter		10
Sodium vitamin symporter	Sodium pantothenate symporter		10
Sodium vs chloride antiporter	Sodium bicarbonate vs chloride antiporter		10
Sodium vs hydrogen antiporter	NHA1 (SLC9B1)		10
Sodium vs hydrogen antiporter	NHA2 (SLC9B2)		10
Sodium vs hydrogen antiporter	NHE		10
Sodium vs hydrogen antiporter	NHE11 (SLC9C2)		10
Sodium vs hydrogen antiporter	NHE2 (SLC9A2)	PMID:21186281	10
Sodium vs hydrogen antiporter	NHE3 (SLC9A3)	PMID:21186281	10
Sodium vs hydrogen antiporter	NHE5 (SLC9A5)	PMID:21186281	10
Sodium vs hydrogen antiporter	NHE6 (SLC9A6)	PMID:21186281	10
Sodium vs hydrogen antiporter	NHE7 (SLC9A7)	PMID:21186281	10
Sodium vs hydrogen antiporter	NHE8 (SLC9A8)	PMID:21186281	10
Sodium vs hydrogen antiporter	NHE9 (SLC9A9)	PMID:21186281	10
Sodium vs hydrogen antiporter	Sodium alanine vs hydrogen antiporter		10
Sodium vs hydrogen antiporter	Sodium amino acid vs hydrogen antiporter		10
Sodium vs hydrogen antiporter	Sodium asparagine vs hydrogen antiporter		10
Sodium vs hydrogen antiporter	Sodium glutamine vs hydrogen antiporter		10
Sodium vs hydrogen antiporter	Sodium glycine vs hydrogen antiporter		10
Sodium vs hydrogen antiporter	Sodium histidine vs hydrogen antiporter		10
Sodium vs hydrogen antiporter	Sodium potassium vs hydrogen antiporter		10
Sodium vs hydrogen antiporter	Sodium serine vs hydrogen antiporter		10
Sodium vs hydrogen antiporter	Sperm specific NHE (SLC9C1)		10
Sodium vs potassium antiporter	Sodium hydrogen aspartate vs potassium antiporter		10
Sodium vs potassium antiporter	Sodium hydrogen cysteine vs potassium antiporter		10
Sodium vs potassium antiporter	Sodium hydrogen glutamate vs potassium antiporter		10
