Dataset name	Timepoint	Timeunit	Integration group	Dataset color	NCBI official gene symbol	Value_1st	Value_2nd	Significant	Rank	Cellline	Drug	Drug_fullName	Drug_class	Drug_abbreviation	Outlier
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ADRA2A	14.2767039132726	0	FALSE	338	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	AES	15.5902672483477	0	FALSE	290	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	AGRN	12.7406891994012	0	FALSE	443	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	AGT	11.7716860144144	0	FALSE	544	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	AIF1L	17.2730776297352	0	FALSE	232	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ALDH2	17.9425131547263	0	FALSE	219	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ALDOC	12.7011520169578	0	FALSE	446	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ALOX15B	13.1084212414774	0	FALSE	414	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ALOXE3	24.2477918295732	0	FALSE	145	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	AMIGO3	55.4189931232966	0	FALSE	34	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ANGPT4	11.9672263456645	0	FALSE	525	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ANLN	15.5982248249373	0	FALSE	289	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ANXA2R	58.8159375755959	0	FALSE	13	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Down	Orange	AP5Z1	-12.394197780688	0	FALSE	478	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	APLN	53.208908480857	0	FALSE	47	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	APOE	13.8214586909064	0	FALSE	360	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	AQP3	49.678323511856	0	FALSE	66	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ARC	45.9626213261267	0	FALSE	74	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ARF5	17.0730327829029	0	FALSE	240	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ARL6IP1	14.9224451596717	0	FALSE	311	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ASAH1	11.7710136029435	0	FALSE	545	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ASF1B	59.9629380006446	0	FALSE	8	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ATOH1	13.2319078769384	0	FALSE	400	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ATP12A	58.4685497065648	0	FALSE	15	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ATP6V0E2	12.0822632375807	0	FALSE	509	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	AVPR1A	20.5449278831763	0	FALSE	181	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	B2M	15.2412889464543	0	FALSE	300	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	B3GNT5	14.283287412872	0	FALSE	337	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	BAIAP2	52.9808279271968	0	FALSE	50	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	BCAM	28.7842181639905	0	FALSE	111	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	BEST2	12.1610226297905	0	FALSE	501	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	BEX3	11.7576264425172	0	FALSE	548	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	BHLHE22	20.026663439063	0	FALSE	193	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	BIRC5	15.8246979055472	0	FALSE	277	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	BMP4	13.6568808967879	0	FALSE	369	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	C12ORF57	13.9842996017867	0	FALSE	356	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	C2CD4A	30.000700973112	0	FALSE	102	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	C2CD4B	12.0303794966	0	FALSE	518	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	C2ORF80	13.2404188323818	0	FALSE	399	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	C5AR2	11.7916363718195	0	FALSE	540	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	C6ORF120	23.2526844507263	0	FALSE	154	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	C6ORF222	20.6818348548241	0	FALSE	179	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	C7	17.4431852521053	0	FALSE	230	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	C9ORF16	21.148311092576	0	FALSE	175	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CA2	53.2824239114046	0	FALSE	46	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CA4	12.3334935448639	0	FALSE	487	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CABLES1	31.4937573159157	0	FALSE	94	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CACNA1I	15.8642043399332	0	FALSE	273	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CALB2	58.370927645471	0	FALSE	16	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CAPN11	12.9787332363136	0	FALSE	423	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CASQ2	27.5198335662082	0	FALSE	116	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CATSPERG	53.0633884334686	0	FALSE	48	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CAVIN2	13.5105773795941	0	FALSE	380	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CCDC71L	56.7812520444474	0	FALSE	25	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Down	Orange	CCNG1	-12.6760891157456	0	FALSE	450	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CD68	18.0443676998364	0	FALSE	215	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CD70	12.5307161326414	0	FALSE	463	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CDC20	12.6404369768034	0	FALSE	451	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CDKN2A	11.4701377682553	0	FALSE	588	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CDO1	12.7864254788335	0	FALSE	438	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CEBPA	18.013182088757	0	FALSE	216	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CEMIP	13.0009508563947	0	FALSE	421	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CETN2	18.0853611230821	0	FALSE	213	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CFAP74	15.7805511125487	0	FALSE	279	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CHCHD2	17.5356462271454	0	FALSE	228	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CHPF	11.5979550100353	0	FALSE	567	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CHST2	14.6543983829711	0	FALSE	321	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CILP	59.6785317417635	0	FALSE	10	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CITED1	58.7293712161257	0	FALSE	14	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CKB	21.4899008054521	0	FALSE	171	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CKM	26.4270959901772	0	FALSE	124	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CKS1B	11.4762545802696	0	FALSE	585	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CLDN1	15.6243058396088	0	FALSE	287	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CLIC5	13.4844253409591	0	FALSE	381	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CNN1	25.1041052644754	0	FALSE	138	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CNN2	12.5658597144157	0	FALSE	455	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CNR1	26.5580908391874	0	FALSE	123	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	COL18A1	15.8465234933113	0	FALSE	275	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	COL1A2	13.4293162947345	0	FALSE	384	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	COL5A1	11.7140745643577	0	FALSE	554	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	COL5A2	17.4516513718299	0	FALSE	229	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	COLGALT1	13.6030763441284	0	FALSE	375	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Down	Orange	COPB1	-12.5225092826366	0	FALSE	465	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CORIN	19.3005117574896	0	FALSE	199	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CORO2A	59.8264517710624	0	FALSE	9	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	COX6A2	15.4309691419232	0	FALSE	295	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	COX6C	13.6410640880813	0	FALSE	371	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	COX7A1	11.4745477516789	0	FALSE	586	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CR2	23.4842248006452	0	FALSE	150	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CRABP2	26.7987136193712	0	FALSE	119	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CRELD1	16.2843232718381	0	FALSE	257	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CRIP2	24.3979992280032	0	FALSE	144	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CRISPLD1	14.4589083997408	0	FALSE	329	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CRTAC1	50.8853411205518	0	FALSE	60	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CSF3	12.7374442458111	0	FALSE	444	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CSRP2	11.9113396117488	0	FALSE	530	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CST3	20.3486579706631	0	FALSE	186	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CTGF	12.1345861603877	0	FALSE	503	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CTNNA3	12.4669157347955	0	FALSE	472	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CTSC	16.4496948482339	0	FALSE	253	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CTSF	16.6947773963458	0	FALSE	250	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	CXCL1	20.5407105557559	0	FALSE	182	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
