ProcessLevel	ProcessName	ProcessID	Symbol	Manual_validation	ReadWrite_references	Parent_processName
1	Amino acid metabolism	MBCO:0000002	DIO2	Positive_for_at_least_one_child	PMID:21685153	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DIO3	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DUOX1	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DUOX2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DUOXA1	Positive_for_at_least_one_child	PMID:23010498	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DUOXA2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ECHS1	Positive_for_at_least_one_child	PMID:26081110;PMID:33139125	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	FAH	Positive_for_at_least_one_child	PMID:12944177;PMID:1297646	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	FOLH1	Positive_for_at_least_one_child	PMID:25131692;PMID:28833962	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	FPGS	Positive_for_at_least_one_child	PMID:8408019	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GAD2	Positive_for_at_least_one_child	PMID:21798237	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GATM	Positive_for_at_least_one_child	PMID:25161088	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GLDC	Positive_for_at_least_one_child	PMID:24979213	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GLS	Positive_for_at_least_one_child	PMID:1675697	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GLS2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GLUD1	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GLUD2	Positive_for_at_least_one_child	NCBI gene summary-online-2022February09;NCBI online	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GLUL	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GLYR1	Positive_for_at_least_one_child	Uniprot-online-2021February26	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GNMT	Positive_for_at_least_one_child	PMID:22807109;UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GOT1	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GOT2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GPT	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GPT2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GRHPR	Positive_for_at_least_one_child	PMID:22189945	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	GSTZ1	Positive_for_at_least_one_child	PMID:25283137	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	HDC	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	HGD	Positive_for_at_least_one_child	PMID:21874298	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	HIBCH	Positive_for_at_least_one_child	PMID:25591832;UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	HMGCL	Positive_for_at_least_one_child	UniProt - 2018March20;UniProt-online-2022February09	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	HNMT	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	IDO1	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	IDO2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	IYD	Positive_for_at_least_one_child	PMID:25177024	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	KMO	Positive_for_at_least_one_child	PMID:19226371;PMID:25540092	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	KYNU	Positive_for_at_least_one_child	PMID:26725996	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	LOX	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	LOXL2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	MAOA	Positive_for_at_least_one_child	PMID:17681180	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	MAOB	Positive_for_at_least_one_child	PMID:16433063	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	MAT1A	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	MCCC1	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	MCCC2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	MTHFD1	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	MTRR	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	NAGS	Positive_for_at_least_one_child	PMID:17933574;PMID:18666241	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	NNMT	Positive_for_at_least_one_child	PMID:21791160	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	OAT	Positive_for_at_least_one_child	PMID:11691635;PMID:18330497	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	OTC	Positive_for_at_least_one_child	PMID:18666241	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	PAH	Positive_for_at_least_one_child	PMID:10444341	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	PEPD	Positive_for_at_least_one_child	PMID:21472842	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	PHGDH	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	PICK1	Positive_for_at_least_one_child	PMID:18191108	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	PRODH	Positive_for_at_least_one_child	PMID:18806117	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	PSAT1	Positive_for_at_least_one_child	PMID:24979213;UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	PSPH	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	PYCR1	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	PYCR2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	QPRT	Positive_for_at_least_one_child	PMID:24038671	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	RNLS	Positive_for_at_least_one_child	PMID:25033547	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SCCPDH	Positive_for_at_least_one_child	PMID:10567240	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SDS	Positive_for_at_least_one_child	PMID:10347152	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SECISBP2	Positive_for_at_least_one_child	PMID:20408442	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SHMT1	Positive_for_at_least_one_child	PMID:23472083	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SHMT2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SIRT3	Positive_for_at_least_one_child	PMID:21255725	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SIRT5	Positive_for_at_least_one_child	PMID:19410549	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC16A2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC16A7	True_positive	UniProt - 2018March20	E_m_p_t_y
1	Amino acid metabolism	MBCO:0000002	SLC18A1	Positive_for_at_least_one_child	PMID:12438092;PMID:20378607	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC19A1	Positive_for_at_least_one_child	PMID:23506878	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC1A1	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC1A3	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC1A4	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC1A5	Positive_for_at_least_one_child	PMID:20091774;UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC1A7	Positive_for_at_least_one_child	UniProt-online-2021March02	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC25A13	Positive_for_at_least_one_child	PMID:18666241;UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC25A15	Positive_for_at_least_one_child	PMID:11997094;PMID:12061769;PMID:18666241	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC25A2	Positive_for_at_least_one_child	UniProt-online-2021November19	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC38A2	Positive_for_at_least_one_child	PMID:24427154	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC38A3	Positive_for_at_least_one_child	PMID:26490457	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC5A5	Positive_for_at_least_one_child	PMID:30599477	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC6A1	Positive_for_at_least_one_child	PMID:18957573	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC6A11	Positive_for_at_least_one_child	PMID:23795861	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC6A13	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC6A4	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC7A1	Positive_for_at_least_one_child	PMID:23831616	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC7A2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SLC7A5	Positive_for_at_least_one_child	PMID:30177408	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SPR	Positive_for_at_least_one_child	PMID:12003346	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	SRR	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	TAT	Positive_for_at_least_one_child	PMID:27295280;UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	TDO2	Positive_for_at_least_one_child	PMID:15206765	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	TG	Positive_for_at_least_one_child	PMID:8530385	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	TH	Positive_for_at_least_one_child	PMID:10212311;PMID:21176768	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	TPH1	Positive_for_at_least_one_child	PMID:18221757;PMID:26950199	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	TPH2	Positive_for_at_least_one_child	PMID:23685423	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	TPO	Positive_for_at_least_one_child	PMID:24625548	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	TYR	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	AJUBA	True_positive	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	AKAP8	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	AKAP9	True_positive	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ANAPC1	Positive_for_at_least_one_child	PMID:15615783	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ANAPC10	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ANAPC13	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ANAPC15	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ANAPC16	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ANAPC4	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ANAPC7	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ANLN	Positive_for_at_least_one_child	PMID:18158242;PMID:22226749	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	APITD1	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ARF6	Positive_for_at_least_one_child	PMID:22522702	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ASPM	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ATAD5	Positive_for_at_least_one_child	PMID:19262753	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ATM	Positive_for_at_least_one_child	NCBI gene summary - 2015December10;PMID:24909175;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ATR	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	ATRIP	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	AURKA	Positive_for_at_least_one_child	NCBI gene summary - 2015December10;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	AURKB	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	AURKC	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	AVEN	Positive_for_at_least_one_child	PMID:18829329	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	BARD1	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	BBC3	Positive_for_at_least_one_child	PMID:25338966	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	BCAS2	Positive_for_at_least_one_child	PMID:26560693	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	BIRC5	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	BNIP2	Positive_for_at_least_one_child	PMID:20511645	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	BOD1	Positive_for_at_least_one_child	PMID:17938248;PMID:24157919;PMID:29142109	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	BORA	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	BTG3	True_positive	PMID:23533280	E_m_p_t_y
1	Cell cycle and cell division	MBCO:0000003	BUB1	Positive_for_at_least_one_child	NCBI gene summary - 2015December10;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	BUB1B	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	BUB3	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CASC5	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CBX5	Positive_for_at_least_one_child	UniProt - 2018March20	E_m_p_t_y
1	Cell cycle and cell division	MBCO:0000003	CCNA2	Positive_for_at_least_one_child	NCBI gene summary - 2015December10;PMID:20660152	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CCNB1	Positive_for_at_least_one_child	PMID:24776885;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CCNB2	Positive_for_at_least_one_child	PMID:18414058;PMID:24776885	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CCNB3	Positive_for_at_least_one_child	PMID:25754637	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CCND1	Positive_for_at_least_one_child	PMID:10392901	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CCND2	Positive_for_at_least_one_child	PMID:9047381	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CCND3	Positive_for_at_least_one_child	PMID:12730225	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CCNE1	Positive_for_at_least_one_child	PMID:21761349	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CCNF	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CCNG1	Positive_for_at_least_one_child	PMID:21180766;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CCP110	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CD248	Positive_for_at_least_one_child	PMID:21321099	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CD2AP	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDC14A	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDC16	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDC20	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDC23	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDC25A	Positive_for_at_least_one_child	NCBI gene summary - 2015December10;PMID:14517313;PMID:24429874;PMID:25936524	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDC25B	Positive_for_at_least_one_child	PMID:21363925;PMID:22451695;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDC25C	Positive_for_at_least_one_child	NCBI gene summary - 2015December10;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDC27	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDC42	Positive_for_at_least_one_child	PMID:22945931;PMID:24988197	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDCA5	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDCA8	Positive_for_at_least_one_child	PMID:27784789;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDK1	Positive_for_at_least_one_child	NCBI gene summary - 2015December10;PMID:16724106;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDK5RAP2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDK6	Positive_for_at_least_one_child	PMID:23737759	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDK9	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDKN1A	Positive_for_at_least_one_child	NCBI gene summary - 2015December10;PMID:10763820;PMID:7958916;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDKN1B	Positive_for_at_least_one_child	PMID:17909031	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDKN1C	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	E_m_p_t_y
1	Cell cycle and cell division	MBCO:0000003	CDKN2A	Positive_for_at_least_one_child	PMID:10777219	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDKN2B	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CDKN3	Positive_for_at_least_one_child	PMID:23775190;UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CENPA	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CENPC	Positive_for_at_least_one_child	NCBI gene summary - 2015December10	Molecular Biology of the Cell
1	Cell cycle and cell division	MBCO:0000003	CENPE	Positive_for_at_least_one_child	NCBI gene summary - 2015December10;UniProt - 2018March20	Molecular Biology of the Cell
